Subject;Predicate;Object;;
Only Voice Remains;schema:creator;Makez Rikweda;;
Only Voice Remains;schema:title;Only Voice Remains;;
Only Voice Remains;schema:category;Documentary;;
Only Voice Remains;schema:language;English;;
Only Voice Remains;schema:fileFormat;Video;;
Only Voice Remains;schema:dateCreated;2019;;
