Subject;Predicate;Object;;
The House is Black;schema:contributor;Forough Farrokhzad;;
The House is Black;schema:landlord;Forough Farrokhzad;;
The House is Black;schema:title;The House is Black;;
The House is Black;schema:category;Documentary;;
The House is Black;schema:language;Persian;;
The House is Black;schema:fileFormat;Video;;
The House is Black;schema:dateCreated;1963;;
The House is Black;schema:datePublished;1963;;
The House is Black;schema:creator;Forough Farrokhzad;;
