Subject;Predicate;Object;;
A Literary Biography and Unpublished Letters;isbd:P1007 - "has statement of responsibility";Farzaneh Milani;;
A Literary Biography and Unpublished Letters;isbd:P1012 - "has title";Forugh Farrokhzad: A Literary Biography and Unpublished Letters;;
A Literary Biography and Unpublished Letters;isbd:P1001 - "has content form";Book;;
A Literary Biography and Unpublished Letters;dcterms:subject;Forough Farrokhzad;;
A Literary Biography and Unpublished Letters;isbd:P1073 - "has note on nature, scope, form, purpose or language";Persian;;
A Literary Biography and Unpublished Letters;isbd:P1003 - "has media type";Book;;
