Subject;Predicate;Object;;
Moon Sun Flower Game;schema:creator;Claus Strigel;;
Moon Sun Flower Game;schema:creator;Julia Furch;;
Moon Sun Flower Game;schema:contributor;Forugh Farrokhzad;;
Moon Sun Flower Game;schema:contributor;Ebrahim Golestan;;
Moon Sun Flower Game;schema:contributor;Hossein Mansouri;;
Moon Sun Flower Game;schema:title;Moon Sun Flower Game: A True Fairytale;;
Moon Sun Flower Game;schema:category;Documentary;;
Moon Sun Flower Game;schema:fileFormat;Video;;
Moon Sun Flower Game;schema:dateCreated;2008;;
