Subject;Predicate;Object;;
Forough Farrokhzad's Childhood Home;240 - Uniform Title;Forough Farrokhzad's Childhood Home;;
Forough Farrokhzad's Childhood Home;336 - Content Type;House;;
Forough Farrokhzad's Childhood Home;006 - Fixed-Length Data Elements;Building;;
Forough Farrokhzad's Childhood Home;852 - Location;Tehran;;
