Subject;Predicate;Object;;
Sin;isbd:P1007 - "has statement of responsibility";Sholeh Wolpé;;
Sin;isbd:P1012 - "has title";Sin;;
Sin;isbd:P1001 - "has content form";Book;;
Sin;isbd:P1073 - "has note on nature, scope, form, purpose or language";English;;
Sin;isbd:P1003 - "has media type";Book;;
Sin;isbd:P1021 - "has date of printing or manufacture";2008;;
