Subject;Predicate;Object;;
Interview with Forough Farrokhzad;dcterms:creator;Iraj Gorgin;;
Interview with Forough Farrokhzad;dcterms:contributor;Iraj Gorgin;;
Interview with Forough Farrokhzad;dcterms:contributor;Forough Farrokhzad;;
Interview with Forough Farrokhzad;dcterms:title;Interview with Forough Farrokhzad;;
Interview with Forough Farrokhzad;dcterms:type;Interview;;
Interview with Forough Farrokhzad;dcterms:subject;Forough Farrokhzad;;
Interview with Forough Farrokhzad;dcterms:language;Persian;;
Interview with Forough Farrokhzad;dcterms:format;Audio File;;
