Subject;Predicate;Object;;
Forough's Painting;crm: E39 Creator;Forough Farrokhzad;;
Forough's Painting;crm: E35 Title;Forough's Painting;;
Forough's Painting;crm: E55 Type;Painting;;
Forough's Painting;crm: E26 Physical Feature;Painting;;
Forough's Painting;crm: E53 Place;Forough Farrokhzad's Childhood Home;;
Forough's Painting;crm: E53 Place;Tehran;;
